Calculation details: PM PM_10 emissions by source category,,,,,,
,,,,,,
Pollutant: PM (PM Fraction: PM_10),,,,,,
Scenario: REF_post2014_CLE,,,,,,
Year: 2005,,,,,,
,,,,,,
Region,Sector,Activity,[Unit],activity,impl_ef,emiss
ITAL_WHOL,AGR_ARABLE,NOF,[M ha],8.5,0.845,7.182
ITAL_WHOL,AGR_BEEF,NOF,[M animals],4.618,0.416,1.92
ITAL_WHOL,AGR_COWS,NOF,[M animals],1.842,0.391,0.72
ITAL_WHOL,AGR_PIG,NOF,[M animals],9.2,0.438,4.026
ITAL_WHOL,AGR_POULT,NOF,[M animals],188.595,0.047,8.921
ITAL_WHOL,CONSTRUCT,NOF,[M m2],54.114,0.087,4.708
ITAL_WHOL,CON_COMB,GAS,[PJ],8.315,0,0.001
ITAL_WHOL,CON_COMB,HF,[PJ],71.604,0.007,0.527
ITAL_WHOL,CON_COMB,LPG,[PJ],94.689,0,0.019
ITAL_WHOL,CON_COMB,MD,[PJ],3.629,0.001,0.005
ITAL_WHOL,DOM,LPG,[PJ],95.865,0,0.029
ITAL_WHOL,DOM,MD,[PJ],174.63,0.001,0.111
ITAL_WHOL,DOM_MB_A,BC1,[PJ],,,
ITAL_WHOL,DOM_MB_A,FWD,[PJ],0.242,0.079,0.019
ITAL_WHOL,DOM_MB_M,BC1,[PJ],,,
ITAL_WHOL,DOM_MB_M,FWD,[PJ],0.081,0.089,0.007
ITAL_WHOL,DOM_SHB_M,FWD,[PJ],0.02,0.391,0.008
ITAL_WHOL,DOM_STOVE_H,FWD,[PJ],58.595,0.43,25.184
ITAL_WHOL,IN_BO_CHEM,HF,[PJ],0.039,0.015,0.001
ITAL_WHOL,IN_BO_CON,HF,[PJ],13.982,0.015,0.206
ITAL_WHOL,IN_BO_CON,LPG,[PJ],18.49,0,0.004
ITAL_WHOL,IN_BO_CON,MD,[PJ],7.087,0.001,0.005
ITAL_WHOL,IN_BO_OTH,HF,[PJ],8.01,0.015,0.118
ITAL_WHOL,IN_BO_OTH,MD,[PJ],,,
ITAL_WHOL,IN_BO_OTH_L,BC1,[PJ],,,
ITAL_WHOL,IN_BO_OTH_S,BC1,[PJ],,,
ITAL_WHOL,IN_BO_PAP,BC1,[PJ],,,
ITAL_WHOL,IN_OC,HF,[PJ],47.981,0.015,0.706
ITAL_WHOL,IN_OC,MD,[PJ],,,
ITAL_WHOL,IN_OC3,BC1,[PJ],,,
ITAL_WHOL,LEAD_GASOL,LFL,[PJ],,,
ITAL_WHOL,MINE_BC,NOF,[Mt],,,
ITAL_WHOL,MINE_OTH,NOF,[Mt],0.03,0.028,0.001
ITAL_WHOL,MSW_FOOD,NOF,[Mt waste],7.088,0.07,0.497
ITAL_WHOL,MSW_OTH,NOF,[Mt waste],9.493,0.126,1.197
ITAL_WHOL,MSW_PAP,NOF,[Mt waste],7.588,0.156,1.185
ITAL_WHOL,MSW_PLA,NOF,[Mt waste],3.747,0.029,0.107
ITAL_WHOL,MSW_TEX,NOF,[Mt waste],0.953,0.09,0.085
ITAL_WHOL,MSW_WOOD,NOF,[Mt waste],0.254,0.072,0.018
ITAL_WHOL,PP_EX_OTH,HF,[PJ],516.257,0.001,0.593
ITAL_WHOL,PP_NEW,HF,[PJ],,,
ITAL_WHOL,PROD_AGAS,CRU,[PJ],257.559,0,0.117
ITAL_WHOL,PR_CEM,NOF,[Mt],40.28,0.177,7.118
ITAL_WHOL,PR_EARC,NOF,[Mt],17.927,0.129,2.305
ITAL_WHOL,PR_GLASS,NOF,[Mt],5.03,0.458,2.303
ITAL_WHOL,PR_LIME,NOF,[Mt],2.219,0.086,0.192
ITAL_WHOL,PR_OT_NFME,NOF,[Mt],0.437,0.535,0.234
ITAL_WHOL,PR_REF,NOF,[Mt],99.861,0.007,0.677
ITAL_WHOL,PR_SMIND_F,NOF,[M people],57.875,0.016,0.908
ITAL_WHOL,RES_BBQ,NOF,[M people],57.875,0.075,4.341
ITAL_WHOL,RES_CIGAR,NOF,[M people],57.875,0.017,0.955
ITAL_WHOL,RES_FIREW,NOF,[M people],57.875,0.035,2.026
ITAL_WHOL,STH_AGR,NOF,[Mt],52.71,0.02,1.075
ITAL_WHOL,STH_COAL,NOF,[Mt],12.624,0.032,0.399
ITAL_WHOL,STH_FEORE,NOF,[Mt],45.611,0.076,3.466
ITAL_WHOL,STH_NPK,NOF,[Mt],12.94,0.026,0.336
ITAL_WHOL,STH_OTH_IN,NOF,[Mt],100.917,0.012,1.221
ITAL_WHOL,TRA_OT_AGR,MD,[PJ],95.155,0.077,7.339
ITAL_WHOL,TRA_OT_AIR,GSL,[PJ],154.928,0,0.06
ITAL_WHOL,TRA_OT_CNS,MD,[PJ],20.142,0.06,1.218
ITAL_WHOL,TRA_OT_INW,GSL,[PJ],8.964,0.028,0.253
ITAL_WHOL,TRA_OT_INW,MD,[PJ],,,
ITAL_WHOL,TRA_OT_RAI,MD,[PJ],4.132,0.095,0.392
ITAL_WHOL,TRA_RD_HDB,ABRASION,[Gvkm],4.488,0.038,0.171
ITAL_WHOL,TRA_RD_HDB,BRAKE,[Gvkm],4.488,0.045,0.202
ITAL_WHOL,TRA_RD_HDB,MD,[PJ],40.604,0.027,1.091
ITAL_WHOL,TRA_RD_HDB,TYRE,[Gvkm],4.488,0.003,0.012
ITAL_WHOL,TRA_RD_HDT,ABRASION,[Gvkm],34.94,0.038,1.328
ITAL_WHOL,TRA_RD_HDT,BRAKE,[Gvkm],34.94,0.053,1.849
ITAL_WHOL,TRA_RD_HDT,MD,[PJ],282.552,0.025,7.144
ITAL_WHOL,TRA_RD_HDT,TYRE,[Gvkm],34.94,0.007,0.242
ITAL_WHOL,TRA_RD_LD2,ABRASION,[Gvkm],20.747,0.003,0.062
ITAL_WHOL,TRA_RD_LD2,BRAKE,[Gvkm],20.747,0.006,0.126
ITAL_WHOL,TRA_RD_LD2,GSL,[PJ],20.99,0.138,2.902
ITAL_WHOL,TRA_RD_LD2,TYRE,[Gvkm],20.747,0.001,0.014
ITAL_WHOL,TRA_RD_LD4C,ABRASION,[Gvkm],406.187,0.008,3.046
