Calculation details: PM PM_2_5 emissions by source category,,,,,,
,,,,,,
Pollutant: PM (PM Fraction: PM_2_5),,,,,,
Scenario: REF_post2014_CLE,,,,,,
Year: 2010,,,,,,
,,,,,,
Region,Sector,Activity,[Unit],activity,impl_ef,emiss
ITAL_WHOL,AGR_ARABLE,NOF,[M ha],8.5,0.188,1.596
ITAL_WHOL,AGR_BEEF,NOF,[M animals],4.086,0.092,0.378
ITAL_WHOL,AGR_COWS,NOF,[M animals],1.746,0.087,0.152
ITAL_WHOL,AGR_PIG,NOF,[M animals],9.321,0.078,0.725
ITAL_WHOL,AGR_POULT,NOF,[M animals],189.362,0.011,1.991
ITAL_WHOL,CONSTRUCT,NOF,[M m2],48.087,0.009,0.433
ITAL_WHOL,CON_COMB,HF,[PJ],73.456,0.002,0.127
ITAL_WHOL,CON_COMB,LPG,[PJ],106.11,0,0.021
ITAL_WHOL,CON_COMB,MD,[PJ],,,
ITAL_WHOL,DOM,LPG,[PJ],84.871,0,0.025
ITAL_WHOL,DOM,MD,[PJ],97.525,0.001,0.051
ITAL_WHOL,DOM_MB_A,BC1,[PJ],,,
ITAL_WHOL,DOM_MB_A,FWD,[PJ],0.913,0.069,0.063
ITAL_WHOL,DOM_MB_M,BC1,[PJ],,,
ITAL_WHOL,DOM_MB_M,FWD,[PJ],,,
ITAL_WHOL,DOM_SHB_A,FWD,[PJ],0.007,0.023,0
ITAL_WHOL,DOM_SHB_M,FWD,[PJ],0.047,0.349,0.016
ITAL_WHOL,DOM_STOVE_H,FWD,[PJ],99.449,0.377,37.457
ITAL_WHOL,IN_BO_CHEM,HF,[PJ],,,
ITAL_WHOL,IN_BO_CON,HF,[PJ],4.288,0.01,0.045
ITAL_WHOL,IN_BO_CON,LPG,[PJ],6.195,0,0.001
ITAL_WHOL,IN_BO_CON,MD,[PJ],0.847,0,0
ITAL_WHOL,IN_BO_OTH,HF,[PJ],0.518,0.01,0.005
ITAL_WHOL,IN_BO_OTH,LPG,[PJ],0.282,0,0
ITAL_WHOL,IN_BO_OTH,OS1,[PJ],0.007,0.009,0
ITAL_WHOL,IN_OC,GAS,[PJ],224.262,0,0.022
ITAL_WHOL,IN_OC,HF,[PJ],9.872,0.01,0.102
ITAL_WHOL,IN_OC,LPG,[PJ],6.76,0,0.001
ITAL_WHOL,MINE_BC,NOF,[Mt],,,
ITAL_WHOL,MINE_OTH,NOF,[Mt],0.03,0.004,0
ITAL_WHOL,MSW_FOOD,NOF,[Mt waste],7.113,0.026,0.182
ITAL_WHOL,MSW_OTH,NOF,[Mt waste],9.711,0.075,0.728
ITAL_WHOL,MSW_PAP,NOF,[Mt waste],7.762,0.029,0.229
ITAL_WHOL,MSW_PLA,NOF,[Mt waste],3.833,0,0
ITAL_WHOL,MSW_TEX,NOF,[Mt waste],0.974,0.066,0.064
ITAL_WHOL,MSW_WOOD,NOF,[Mt waste],0.26,0.068,0.018
ITAL_WHOL,PP_ENG,MD,[PJ],7.27,0.01,0.073
ITAL_WHOL,PP_EX_OTH,HF,[PJ],309.567,0.001,0.255
ITAL_WHOL,PP_MOD,GAS,[PJ],1177.039,0,0.118
ITAL_WHOL,PROD_AGAS,CRU,[PJ],215.436,0,0.098
ITAL_WHOL,PR_CEM,NOF,[Mt],34.405,0.095,3.279
ITAL_WHOL,PR_EARC,NOF,[Mt],17.195,0.113,1.94
ITAL_WHOL,PR_GLASS,NOF,[Mt],7.217,0.427,3.082
ITAL_WHOL,PR_LIME,NOF,[Mt],1.896,0.029,0.054
ITAL_WHOL,PR_OT_NFME,NOF,[Mt],0.307,0.488,0.15
ITAL_WHOL,PR_REF,NOF,[Mt],89.59,0.004,0.401
ITAL_WHOL,PR_SMIND_F,NOF,[M people],59.19,0.007,0.402
ITAL_WHOL,RES_BBQ,NOF,[M people],59.19,0.075,4.439
ITAL_WHOL,RES_CIGAR,NOF,[M people],59.19,0.017,0.977
ITAL_WHOL,RES_FIREW,NOF,[M people],59.19,0.035,2.072
ITAL_WHOL,STH_AGR,NOF,[Mt],52.71,0.004,0.19
ITAL_WHOL,STH_COAL,NOF,[Mt],14.635,0.004,0.051
ITAL_WHOL,STH_FEORE,NOF,[Mt],34.159,0.007,0.246
ITAL_WHOL,STH_NPK,NOF,[Mt],12.94,0.004,0.047
ITAL_WHOL,STH_OTH_IN,NOF,[Mt],108.182,0.001,0.097
ITAL_WHOL,TRA_OT,HC1,[PJ],,,
ITAL_WHOL,TRA_OT_AGR,MD,[PJ],83.947,0.041,3.44
ITAL_WHOL,TRA_OT_AIR,GSL,[PJ],161.724,0,0.058
ITAL_WHOL,TRA_OT_CNS,GAS,[PJ],,,
ITAL_WHOL,TRA_OT_INW,GSL,[PJ],7.745,0.023,0.181
ITAL_WHOL,TRA_OT_INW,MD,[PJ],,,
ITAL_WHOL,TRA_OT_RAI,MD,[PJ],2.684,0.084,0.227
ITAL_WHOL,TRA_RD_HDB,ABRASION,[Gvkm],4.223,0.021,0.087
ITAL_WHOL,TRA_RD_HDB,BRAKE,[Gvkm],4.223,0.018,0.076
ITAL_WHOL,TRA_RD_HDB,GAS,[PJ],1.868,0.001,0.001
ITAL_WHOL,TRA_RD_HDB,LPG,[PJ],0.091,0.001,0
ITAL_WHOL,TRA_RD_HDB,MD,[PJ],37.799,0.017,0.646
ITAL_WHOL,TRA_RD_HDB,TYRE,[Gvkm],4.223,0,0.001
ITAL_WHOL,TRA_RD_HDT,ABRASION,[Gvkm],29.424,0.021,0.604
ITAL_WHOL,TRA_RD_HDT,BRAKE,[Gvkm],29.424,0.021,0.62
ITAL_WHOL,TRA_RD_HDT,GAS,[PJ],,,
ITAL_WHOL,TRA_RD_HDT,MD,[PJ],250.185,0.015,3.877
ITAL_WHOL,TRA_RD_HDT,TYRE,[Gvkm],29.424,0.001,0.019
ITAL_WHOL,TRA_RD_LD2,ABRASION,[Gvkm],22.071,0.002,0.036
ITAL_WHOL,TRA_RD_LD2,BRAKE,[Gvkm],22.071,0.002,0.053
ITAL_WHOL,TRA_RD_LD2,GSL,[PJ],13.929,0.114,1.588
ITAL_WHOL,TRA_RD_LD2,TYRE,[Gvkm],22.071,0,0.001
ITAL_WHOL,TRA_RD_LD4C,ABRASION,[Gvkm],409.475,0.004,1.658
ITAL_WHOL,TRA_RD_LD4C,BRAKE,[Gvkm],409.475,0.005,2
ITAL_WHOL,TRA_RD_LD4C,GAS,[PJ],25.073,0,0.012
