Calculation details: NOX  emissions by source category,,,,,,
,,,,,,
Pollutant: NOX,,,,,,
Scenario: REF_post2014_CLE,,,,,,
Year: 2015,,,,,,
,,,,,,
Region,Sector,Activity,[Unit],activity,impl_ef,emiss
ITAL_WHOL,CON_COMB,MD,[PJ],0.171,0.08,0.014
ITAL_WHOL,DOM,BC1,[PJ],,,
ITAL_WHOL,DOM,GAS,[PJ],1085.633,0.054,58.396
ITAL_WHOL,DOM,HC1,[PJ],,,
ITAL_WHOL,DOM,LPG,[PJ],71.866,0.05,3.601
ITAL_WHOL,DOM,MD,[PJ],79.55,0.049,3.93
ITAL_WHOL,DOM,OS1,[PJ],326.706,0.107,34.958
ITAL_WHOL,IN_BO_CHEM,HF,[PJ],0.193,0.064,0.012
ITAL_WHOL,IN_BO_CHEM,LPG,[PJ],,,
ITAL_WHOL,IN_BO_CHEM,OS1,[PJ],0.067,0.13,0.009
ITAL_WHOL,IN_BO_CON,HF,[PJ],2.214,0.064,0.142
ITAL_WHOL,IN_BO_CON,MD,[PJ],0.344,0.068,0.023
ITAL_WHOL,IN_BO_OTH,HF,[PJ],0.317,0.064,0.02
ITAL_WHOL,IN_BO_OTH,LPG,[PJ],0.174,0.06,0.01
ITAL_WHOL,IN_BO_OTH,OS1,[PJ],0.02,0.13,0.003
ITAL_WHOL,IN_BO_PAP,HF,[PJ],,,
ITAL_WHOL,IN_BO_PAP,OS1,[PJ],0,0.13,0
ITAL_WHOL,IN_OC,DC,[PJ],58.076,0.02,1.162
ITAL_WHOL,IN_OC,GAS,[PJ],194.102,0.042,8.152
ITAL_WHOL,IN_OC,HC1,[PJ],21.95,0.052,1.141
ITAL_WHOL,IN_OC,HF,[PJ],17.137,0.07,1.206
ITAL_WHOL,IN_OC,LPG,[PJ],6.741,0.06,0.401
ITAL_WHOL,IN_OC,OS1,[PJ],4.556,0.13,0.592
ITAL_WHOL,MSW_FOOD,NOF,[Mt waste],7.309,0.016,0.116
ITAL_WHOL,MSW_OTH,NOF,[Mt waste],9.6,0.021,0.202
ITAL_WHOL,MSW_PAP,NOF,[Mt waste],7.674,0.007,0.051
ITAL_WHOL,MSW_PLA,NOF,[Mt waste],3.789,0,0
ITAL_WHOL,MSW_TEX,NOF,[Mt waste],0.963,0.014,0.014
ITAL_WHOL,MSW_WOOD,NOF,[Mt waste],0.257,0.043,0.011
ITAL_WHOL,OTHER_NOX,NOF,[kt NOx],,,
ITAL_WHOL,PP_ENG,MD,[PJ],0.658,0.115,0.075
ITAL_WHOL,PP_EX_OTH,HF,[PJ],84.635,0.061,5.12
ITAL_WHOL,PP_MOD,GAS,[PJ],741.743,0.03,22.252
ITAL_WHOL,PP_NEW,HF,[PJ],,,
ITAL_WHOL,PROD_AGAS,CRU,[PJ],194.736,0,0.083
ITAL_WHOL,PR_CEM,NOF,[Mt],29.418,1.316,38.715
ITAL_WHOL,PR_GLASS,NOF,[Mt],5.244,2.923,15.329
ITAL_WHOL,PR_LIME,NOF,[Mt],1.621,0.47,0.762
ITAL_WHOL,PR_REF,NOF,[Mt],73.135,0.044,3.218
ITAL_WHOL,TRA_OT_AGR,MD,[PJ],77.008,0.658,50.674
ITAL_WHOL,TRA_OT_AIR,GSL,[PJ],170.55,0.022,3.759
ITAL_WHOL,TRA_OT_CNS,GAS,[PJ],,,
ITAL_WHOL,TRA_OT_INW,GSL,[PJ],10.637,0.095,1.007
ITAL_WHOL,TRA_OT_INW,MD,[PJ],,,
ITAL_WHOL,TRA_OT_RAI,MD,[PJ],2.453,1.088,2.668
ITAL_WHOL,TRA_RD_HDB,GAS,[PJ],2.301,0.061,0.14
ITAL_WHOL,TRA_RD_HDB,LPG,[PJ],0.187,0.08,0.015
ITAL_WHOL,TRA_RD_HDB,MD,[PJ],51.007,0.571,29.128
ITAL_WHOL,TRA_RD_HDT,GAS,[PJ],0.003,0.048,0
ITAL_WHOL,TRA_RD_HDT,LPG,[PJ],,,
ITAL_WHOL,TRA_RD_HDT,MD,[PJ],171.754,0.401,68.883
ITAL_WHOL,TRA_RD_LD2,GSL,[PJ],14.465,0.176,2.54
ITAL_WHOL,TRA_RD_LD4C,GAS,[PJ],37.744,0.035,1.314
ITAL_WHOL,TRA_RD_LD4C,GSL,[PJ],316.999,0.031,9.85
ITAL_WHOL,TRA_RD_LD4C,MD,[PJ],549.08,0.319,175.371
ITAL_WHOL,TRA_RD_LD4T,GAS,[PJ],0.02,0.063,0.001
ITAL_WHOL,TRA_RD_LD4T,GSL,[PJ],4.056,0.081,0.327
ITAL_WHOL,TRA_RD_LD4T,LPG,[PJ],0.019,0.073,0.001
ITAL_WHOL,TRA_RD_LD4T,MD,[PJ],167.857,0.319,53.553
ITAL_WHOL,TRA_RD_M4,GSL,[PJ],35.06,0.17,5.967
ITAL_WHOL,WASTE_AGR,NOF,[Mt],0.21,3,0.63
ITAL_WHOL,WASTE_FLR,NOF,[PJ],0.85,0.03,0.025
ITAL_WHOL,CON_COMB,GAS,[PJ],33.497,0.038,1.286
ITAL_WHOL,CON_COMB,HC1,[PJ],0.859,0.057,0.049
ITAL_WHOL,CON_COMB,HF,[PJ],68.601,0.07,4.83
ITAL_WHOL,CON_COMB,LPG,[PJ],85.026,0.054,4.613
ITAL_WHOL,DOM,DC,[PJ],,,
ITAL_WHOL,DOM,GSL,[PJ],5.112,0.058,0.296
ITAL_WHOL,DOM,HF,[PJ],0.453,0.15,0.068
ITAL_WHOL,IN_BO_CHEM,GAS,[PJ],10.487,0.046,0.477
ITAL_WHOL,IN_BO_CHEM,OS2,[PJ],,,
ITAL_WHOL,IN_BO_CON,GAS,[PJ],10.383,0.046,0.472
ITAL_WHOL,IN_BO_CON,LPG,[PJ],2.744,0.06,0.163
ITAL_WHOL,IN_BO_OTH,GAS,[PJ],31.799,0.046,1.447
ITAL_WHOL,IN_BO_OTH,MD,[PJ],0.376,0.068,0.026
ITAL_WHOL,IN_BO_OTH,OS2,[PJ],0.082,0.075,0.006
ITAL_WHOL,IN_BO_PAP,GAS,[PJ],4.714,0.046,0.214
ITAL_WHOL,IN_BO_PAP,LPG,[PJ],0.013,0.06,0.001
ITAL_WHOL,IN_BO_PAP,OS2,[PJ],,,
ITAL_WHOL,IN_OC,BC1,[PJ],,,
ITAL_WHOL,IN_OC,MD,[PJ],0.186,0.068,0.013
ITAL_WHOL,IN_OC,OS2,[PJ],4.328,0.075,0.326
ITAL_WHOL,PP_ENG,GAS,[PJ],47.569,0.13,6.184
ITAL_WHOL,PP_ENG,HF,[PJ],,,
ITAL_WHOL,PP_EX_L,HC1,[PJ],542.726,0.066,35.82
ITAL_WHOL,PP_EX_OTH,GAS,[PJ],42.495,0.04,1.7
ITAL_WHOL,PP_EX_OTH,OS1,[PJ],49.754,0.13,6.468
